,1to2,2to1,id,주소2,지역,위도,경도,rate,category,diff
147,31857.0,31669.0,262.0,영문초등학교 사거리,영등포구,37.519928,126.889183,0.5014797090954884,neutral,188.0
1195,27946.0,31643.0,1653.0,노원역1번출구,노원구,37.6562,127.063622,0.46897917400862577,neutral,3697.0
1361,31231.0,31419.0,1925.0,동양미래대학교 정문 옆,구로구,37.499889,126.867699,0.4984996009577015,neutral,188.0
2055,29825.0,31107.0,3569.0,건대병원후문,광진구,37.539566,127.072441,0.4894800761504628,neutral,1282.0
2015,31328.0,31000.0,3518.0,군자역 7번출구뒤,광진구,37.556862,127.07914,0.5026312411757156,neutral,328.0
819,30577.0,30783.0,1117.0,스타벅스앞,강서구,37.558197,126.844261,0.49832138200782267,neutral,206.0
13,28919.0,30311.0,114.0,홍대입구역 8번출구 앞,마포구,37.55706,126.924423,0.488249198041533,neutral,1392.0
145,27933.0,30277.0,259.0,대방역6번출구,영등포구,37.513592,126.925934,0.47986600240508503,neutral,2344.0
881,25099.0,30130.0,1193.0,마곡센트럴타워 1차,강서구,37.559471,126.832077,0.45445327635843485,neutral,5031.0
907,29849.0,30119.0,1222.0,잠실새내역 5번 출구 뒤,송파구,37.511982,127.085052,0.4977487993596585,neutral,270.0
857,29286.0,29763.0,1166.0,강서구립등빛도서관,강서구,37.562569,126.842461,0.49596098155768936,neutral,477.0
148,29262.0,29700.0,263.0,근로자회관 사거리,영등포구,37.517151,126.888626,0.49628574336013026,neutral,438.0
1494,27807.0,29665.0,2136.0,신림역 8번출구,관악구,37.484577,126.929916,0.4838356069042316,neutral,1858.0
1480,27734.0,29416.0,2109.0,은천로입구 가로공원,관악구,37.486225,126.935829,0.4852843394575678,neutral,1682.0
1173,29218.0,29414.0,1611.0,과기대 입구(우),노원구,37.62994,127.076553,0.4983285577841452,neutral,196.0
2166,28442.0,29375.0,3798.0,그랜드아이파트아파트 앞,강서구,37.55510712,126.8515472,0.49193143885016516,neutral,933.0
427,28241.0,29302.0,585.0,성수2가1동 공영주차장 인근,성동구,37.536808,127.055489,0.49078080739620805,neutral,1061.0
673,24636.0,29085.0,931.0,역촌파출소,은평구,37.604736,126.915337,0.45859161221868544,neutral,4449.0
411,28361.0,28992.0,568.0,청계8가사거리 부근,성동구,37.571102,127.02356,0.49449898000104614,neutral,631.0
653,25766.0,28902.0,906.0,연신내역 5번출구150M 아래,은평구,37.61721,126.919579,0.4713177727372503,neutral,3136.0
607,24477.0,28828.0,825.0,서빙고동 주민센터 앞,용산구,37.520336,126.994263,0.45918769346215177,neutral,4351.0
873,26343.0,28748.0,1184.0,마곡13단지,강서구,37.55645,126.815979,0.47817247826323717,neutral,2405.0
494,27069.0,28532.0,670.0,삼육서울병원 버스정류장,동대문구,37.589687,127.061409,0.4868437618028453,neutral,1463.0
513,28019.0,28415.0,708.0,서울출입국관리사무소 앞,양천구,37.51897,126.869965,0.4964914767693235,neutral,396.0
820,25702.0,28337.0,1118.0,증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,37.557461,126.861458,0.47561946001961547,neutral,2635.0
1785,27888.0,28216.0,2621.0,한성백제역 2번 출구,송파구,37.516659,127.116257,0.49707685726507916,neutral,328.0
