,bike_id,bus_id,bus_name,경도,위도
136,[1616 1617 1650 2919 4007 4036],11416,하계역,127.068213,37.636572
137,[1617 1650 1669 2919 4036 4039],11374,서울시립북서울미술관,127.066392,37.640586
138,[1650 1668 1669 2919 2921 4039],11373,중계역,127.065326,37.642974
139,[1636 1661 1668 1678 2921 4026],11257,백병원,127.062882,37.648018
140,[1636 1637 1661 1662 1673 1674 1678 1697 4026],11256,상계주공4단지,127.061765,37.650775
141,[1636 1637 1653 1657 1662 1673 1674 1697],11255,상계주공6단지,127.061145,37.653184
142,[1637 1653 1657 1662 1673 1674 1686 1690],11185,도봉면허시험장,127.059966,37.657447
143,[1686 1690 4019 4038],11183,상계주공7단지,127.059114,37.660367
144,[1653 1686 1690 1691 1692 4019 4038],11188,상계주공7단지.광림교회앞,127.062782,37.660497
145,[1537 1572],9104,우이동성원아파트,127.013357,37.662045
146,[1537 1572],9286,우이동도선사입구,127.01273,37.663105
147,[1537 1572],10342,한국사회봉사회,127.014759,37.661814
148,[1723 4075],10184,연산군.정의공주묘,127.022975,37.661886
149,[1723 1767 1768 1771 4075 4078],10186,방학동신동아타워,127.028111,37.66168
150,[1723 1734 1761 1767 1768 1771 4075],10189,방학동신동아아파트,127.031383,37.661983
151,[1726 1734 1761 1767 1768 1772],10191,국민은행방학지점,127.034334,37.662332
152,[1726 1733 1767],10193,신한은행방학동지점,127.037002,37.662655
153,[1706 1733 1744 1746 4062],10195,방학사거리,127.040497,37.662672
154,[1706 1733 1744 1746 4062],10304,정병원,127.04192,37.661947
155,[1708 1726 1733 1762 1772 4062],10011,도봉보건소,127.040762,37.658936
156,[1707 1708 1736 1751 1762 1772 1774],10013,도봉구민회관.도봉문화원,127.038174,37.65456
157,[1709 1736 1741 1754 1765 1774 4054],10015,쌍문역,127.034769,37.648817
158,[1741 1754 4054],10017,우이1교앞,127.032652,37.645293
159,[1503 1512 1513 1514 1526 1552 1569],9001,수유3동우체국,127.029043,37.641242
160,[1503 1513 1514 1520 1526 1535 1552 1565 1569 3707],9013,수유(강북구청)역,127.0261,37.638477
161,[1503 1513 1514 1520 1535 1552 1565 1569],9003,수유역,127.024117,37.636659
162,[1527 1529 1565],9005,수유시장.성신여대미아캠퍼스앞,127.024172,37.631226
163,[1501 1525 1527],9007,미아역.신일중고,127.026649,37.62487
164,[1515 1546 1560 1574 3703],9009,도봉세무서.성북시장,127.028719,37.619714
165,[1339 1531 1546 1574 3703 3714],9011,미아사거리역,127.029933,37.613762
166,[1369],8001,월곡뉴타운,127.028209,37.606906
167,[1318 1347 1348 1353 1367 1394],8003,길음뉴타운,127.024168,37.603626
168,[1353 1392 1393 1394],8005,미아리고개.미아리예술극장,127.021709,37.598811
169,[1336 1337 1368 1384 1385 1386],8007,돈암사거리.성신여대입구,127.018131,37.593743
170,[1303 1305 1336 1337 1355 1384 1385 1388],8175,삼선동주민센터,127.014347,37.590611
171,[1305 1336 1337 1338 1352 1355 1362 1368 1385],8177,성북구청.성북경찰서,127.017259,37.588243
172,[1305 1338 1352 1355 1362 1363],8179,보문역,127.018921,37.585851
173,[1351 1352 1362 1363],8181,보문동성당,127.020796,37.582396
174,[ 671  672 1351 1363],8183,보문동주민센터,127.021863,37.580451
175,[ 362  363  456  605  613  671  672 1351 4798],1243,신설동로터리,127.02278,37.575929
176,[ 361  362  363  431  456  568  613  671 3416 4798],1044,동묘앞,127.019672,37.574243
177,[ 346  361  393  457  475 3401 3415 3416 4765  378],1037,동대문(흥인지문),127.012046,37.571953
178,[ 343  344  346  393  452  453  455  457 3404 3414 3415 4765],1022,종로6가.동대문종합시장,127.005714,37.571127
179,[ 338  339  345  397  452  453 3404 3411 3412 3413 3414],1020,종로5가.광장시장,126.999335,37.570881
180,[ 334  335  338  339  389  397  453 3410 3411 3412 3413 4707],1018,종로4가.종묘,126.995284,37.570627
181,"[ 327  328  329  334  335  398  454  472 3013 3410 3411 3412 3432 4707
 4785]",1016,종로3가.탑골공원,126.989988,37.570361
182,"[ 316  318  327  328  329  331  332  334  335  385  454  472 3013 3408
 3432 4708 4762 4785]",1014,종로2가,126.986247,37.570257
183,"[ 310  316  318  320  321  329  331  332  368  385  433  454  466  468
 3013 3408 4762 4774 4775 4785 4796  311]",2246,을지로입구역.광교,126.982474,37.567558
184,"[ 318  320  321  322  324  331  433  466  467  468  471 4762 4774 4775
 4778 4796  312  311]",2140,롯데백화점,126.982065,37.564492
185,[ 324  370  445  467  468  469  470  471 4776  312],2127,북창동.남대문시장,126.97792,37.561175
186,[ 379  384  435  441  443  445  484  485 4753 4760 4766 4772  444],2008,숭례문,126.973778,37.558639
187,[ 379  435  442  484  485  807  826 4760 4794  444],2004,서울역버스환승센터,126.972356,37.555446
188,[442 807 820],3012,갈월동,126.971708,37.549534
189,[ 818  819  828  835  838 4625],3010,숙대입구역,126.972232,37.543756
190,[ 805  812  813  817  847  848  849  850 4620 4625],3008,삼각지역,126.974161,37.535985
191,[ 813  816  817  841 4620],3006,KT용산지사,126.970564,37.53205
192,[ 816  841  853 4629 4633],3004,신용산역,126.966619,37.52792
193,[ 822  829 4619 4629 4633],3002,한강대교북단.LG유플러스,126.963185,37.524306
194,[ 869  870 4605],3340,노들섬,126.958593,37.517671
195,[2002 2003 2076 2077],20014,노들역,126.950962,37.512734
196,[2003 2050 2054 2058 2070],20012,노량진역,126.944711,37.513833
197,[2050 2054 2058 2070],20240,동작구청정문,126.940062,37.512377
198,[2050 2054 2058 2070],20190,동작구청.노량진초등학교앞,126.940037,37.510373
199,[2013 2020 4152],20192,장성교회,126.939968,37.508211
200,[2013 2020 2096 4152],20151,장승배기역,126.938522,37.504676
201,[2013 2020 2096],20150,상도초등학교입구,126.935768,37.50296
202,[2015 2016 4169],20147,성대시장,126.930909,37.499996
203,[2015 2016 4169],20186,신대방삼거리,126.927841,37.497775
204,[4169],20188,보라매병원입구,126.927191,37.494757
205,[2173 2174 2175],21151,롯데백화점관악점,126.927401,37.490193
